X,Y,OBJECTID,OFFICIAL_STORE_NAME,STORE_ADDRESS,CDC_STORE_LEVEL,CATEGORY,ZIP
-75.12702338948688,40.043836037852635,158,D & L Food Market,400 W Spencer St,3,Enhanced,19120
-75.08163599513496,40.012754381398786,159,D & R Food Market,1801 Orthodox St,3,Enhanced,19124
-75.050836624575808,40.02800467885514,160,D Angela Mini Market,6663 Walker St.,3,Enhanced,19135
-75.064044427357359,40.015146723105232,161,D&S Quick Stop,5537 Torresdale Ave,1,Basic,19124
-75.047062575783684,40.024761972133447,162,Daily Bread,4620 Unruh Ave,3,Enhanced,19135
-75.157751030577131,39.939748152038923,163,Dasani LLC,800 S 9th St,3,Enhanced,19147
-75.163907547404435,39.988379459018738,164,Dauphin Street Grocery & Deli,2267 North 19th St.,3,Enhanced,19132
-75.167064009189914,39.997681520949314,165,Daves Meat Market,2831 N 22nd St,2,Basic,19132
-75.214008338850931,39.949013549928345,166,Davis Pharmacy,4523 Baltimore Ave,2,Basic,19143
-75.173737687739063,39.990202750201313,167,De Los Santos Mini Mart,2300 N 25th St,3,Enhanced,19132
-75.128046302518257,39.995278199963913,168,Decoo Grocery,3000 A St,2,Basic,19134
-75.108057091780609,39.997320774334227,169,Del Orbe Mini Market,3359 Jasper St.,2,Basic,19134
-75.227441552640258,39.954185854792293,170,Delancey Food Market,5266 Delancey St,3,Enhanced,19143
-75.169064943130678,39.980977069969541,171,Delaware Valley Market,1753 N 21St St,1,Basic,19121
-75.230565131259027,39.924260660180067,172,Denia A Sanchez Padilla Grocery,6401 Grays Ave,1,Basic,19142
-75.113762834515313,39.985364658688866,173,Dennis Grocery,2333 East Cambria St,3,Enhanced,19134
-75.161478609786897,40.004395694366146,174,Dennys Grocery,1943 W Westmoreland St,3,Enhanced,19140
-75.12785709002722,40.029864261010566,175,Deynaira Food Market,235 W Duncannon Ave,3,Enhanced,19120
-75.118405921920711,40.030365870971259,176,Dheera Fuels Inc,5302 Rising Sun Ave,2,Basic,19120
-75.123564832157683,40.021429749539323,177,Diaz Grocery,140 E Wyoming Ave,3,Enhanced,19120
-75.115446302473899,39.990600640282175,178,Dilena Food Market,2975 Frankford Avenue,3,Enhanced,19134
